seed,episode,cluster_id,suite,task_id,cold_start,event_type,state_before,state_after,B_k_size,sigma_k,phi_k,tau_k,policy_version,probe_rounds,n,probe_round,probe_success_count,probe_failure_count,passed
0,2634,libero_10_task2,libero_10,2,False,rematuration,I,M,80,25.25,0.5,0.816,2,2,,,,,
0,2671,libero_10_task0,libero_10,0,False,retraining,I,X,80,15.25,9.75,0.8,2,2,80,2,13,7,False
0,2671,libero_10_task0,libero_10,0,False,transition_X,I,X,80,15.25,9.75,0.8,2,2,,,,,
0,3088,libero_spatial_task3,libero_spatial,3,True,demotion,M,I,20,36.0,4.0,0.844,1,1,,,,,
1,0,libero_goal_task8,libero_goal,8,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,1,libero_object_task6,libero_object,6,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,2,libero_10_task2,libero_10,2,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,4,libero_object_task3,libero_object,3,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,5,libero_goal_task4,libero_goal,4,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,6,libero_spatial_task3,libero_spatial,3,True,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,7,libero_object_task4,libero_object,4,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,8,libero_spatial_task0,libero_spatial,0,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,9,libero_goal_task7,libero_goal,7,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,10,libero_goal_task6,libero_goal,6,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,11,libero_object_task7,libero_object,7,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,13,libero_object_task8,libero_object,8,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
1,14,libero_spatial_task1,libero_spatial,1,False,first_exposure,U,I,1,0,0,0.8,0,0,,,,,
